"Strong's"	"Goodrick-Kohlenberger"	"Greek Word"	"English Definition (brief)"	"English Definition (longer)"
"4815"	"5197"	"sullamba/nw"	"I seize, apprehend, become pregnant"	"I seize, apprehend, assist, conceive, become pregnant."
"4816"	"5198"	"sulle/gw"	"I collect, gather"	"I collect, gather."
"4817"	"5199"	"sullogi/zomai"	"I reason"	"I reason, reckon with myself, consider."
"4818"	"5200"	"sullupe/omai"	"I am grieved"	"I am moved to grief by sympathy."
"4819"	"5201"	"sumbai/nw"	"I happen, occur"	"I happen, occur, meet."
"4820"	"5202"	"sumba/llw"	"I ponder, encounter, confer or dispute with"	"properly: I throw together, hence: I ponder, come up with, encounter, with or without hostile intent; I dispute with; mid: I confer, consult with, contribute."
"4821"	"5203"	"sumbasileu/w"	"I reign together with"	"I reign together with."
"4822"	"5204"	"sumbiba/zw"	"I unite, prove, instruct"	"(a) I unite or knit together, (b) I put together in reasoning, and so: I conclude, prove, (c) I teach, instruct."
"4823"	"5205"	"sumbouleu/w"	"I give advice"	"I give advice, exhort; mid: I take counsel together, consult."
"4824"	"5206"	"sumbou/lion, ou, to/"	"a council, advice"	"(a) a body of advisers (assessors) in a court, a council, (b) abstr: consultation, counsel, advice; resolution, decree."
"4825"	"5207"	"su/mboulos, ou, o("	"an adviser, counselor"	"an adviser, counselor."
"4826"	"5208"	"*sumew/n, o("	"Simeon or Simon"	"Simeon or Simon."
"4827"	"5209"	"summaqhth/s, ou=, o("	"a fellow-disciple"	"a fellow disciple."
"4828"	"5210"	"summarture/w"	"I bear witness together with"	"I bear witness together with."
"4829"	"5211"	"summeri/zomai"	"I partake with"	"I partake with, divide together with, have a share in."
"4830"	"5212"	"summe/toxos, on"	"jointly partaking"	"jointly partaking."
"4831"	"5213"	"summimhth/s, ou=, o("	"a joint imitator"	"a joint imitator."
"4832"	"5215"	"su/mmorfos, on"	"similar, conformed to"	"similar, conformed to."
"4833"	"5214,5216,5240"	"summorfo/w"	"I bring to the same form with, conform"	"I bring to the same form with, conform."
"4834"	"5217"	"sumpaqe/w"	"I sympathize with, have compassion on"	"I sympathize with, have compassion on."
"4835"	"5218"	"sumpaqh/s, e/s"	"sympathizing, compassionate"	"sympathizing, compassionate."
"4836"	"5219"	"sumparagi/nomai"	"I come together with, help"	"I come together with, stand by one, help."
"4837"	"5220"	"sumparakale/w"	"I invite, encourage along with others"	"I invite, encourage along with others; pass: I share in encouragement with."
"4838"	"5221"	"sumparalamba/nw"	"I take along as a companion"	"I take along as a companion."
"4839"	"5222"	"sumparame/nw"	"I remain or continue together with"	"I remain or continue together with."
"4840"	"5223"	"sumpa/reimi"	"I am present together with"	"I am present together with."
"4841"	"5224"	"sumpa/sxw"	"I suffer together with"	"I suffer together with, sympathize."
"4842"	"5225"	"sumpe/mpw"	"I send together with"	"I send together with."
"4843"	"5227"	"sumperilamba/nw"	"I embrace completely"	"I embrace completely."
"4844"	"5228"	"sumpi/nw"	"I drink together with"	"I drink together with."
"4845"	"5230"	"sumplhro/w"	"I fill completely"	"I fill completely; pass: I am completed."
"4846"	"5231"	"sumpni/gw"	"I choke utterly, crowd upon"	"I choke utterly, as weeds do plants; I crowd upon."
"4847"	"5232"	"sumpoli/ths, ou, o("	"a fellow citizen"	"a fellow citizen."
"4848"	"5233"	"sumporeu/omai"	"I journey together with, assemble"	"I journey together with; I come together, assemble."
"4849"	"5234,5235"	"sumpo/sion, ou, to/"	"a drinking party, festive company"	"a drinking party, festive company."
"4850"	"5236"	"sumpresbu/teros, ou, o("	"a fellow elder"	"a fellow elder."
"4851"	"5237,5239"	"sumfe/rw"	"I collect, am profitable to"	"I bring together, collect; I am profitable to."
"4852"	"5238"	"su/mfhmi"	"I assent to"	"I assent to, consent, confess, agree with."
"4853"	"5241"	"sumfule/ths, ou, o("	"a fellow country-man"	"one of the same tribe, a fellow country-man."
"4854"	"5242"	"su/mfutos, on"	"grown together, united with"	"grown together, united with."
"4855"	"5243"	"sumfu/w"	"I grow at the same time"	"I grow at the same time."
"4856"	"5244"	"sumfwne/w"	"I agree with"	"I agree with, harmonize with, agree together."
"4857"	"5245"	"sumfw/nhsis, ews, h("	"harmony, agreement"	"harmony, agreement, concord."
"4858"	"5246"	"sumfwni/a, as, h("	"harmony of instruments, music"	"harmony of instruments, music."
"4859"	"5247"	"su/mfwnos, on"	"harmonious, agreeing with"	"harmonious, agreeing with."
"4860"	"5248"	"sumyhfi/zw"	"I compute, reckon up"	"I compute, reckon up, count together."
"4861"	"5249"	"su/myuxos, on"	"of one accord"	"of one accord."
"4862"	"5250"	"su/n"	"with"	"with."
"4863"	"5251"	"suna/gw"	"I gather together"	"I gather together, collect, assemble, receive with hospitality, entertain."
"4864"	"5252"	"sunagwgh/, h=s, h("	"an assembly, congregation, synagogue"	"an assembly, congregation, synagogue, either the place or the people gathered together in the place."
"4865"	"5253"	"sunagwni/zomai"	"I struggle in company with"	"I struggle in company with, aid."
"4866"	"5254"	"sunaqle/w"	"I compete together with others"	"I compete together with others, cooperate vigorously with."
"4867"	"0125,5255"	"sunaqroi/zw"	"I gather together, assemble"	"I gather together, assemble."
"4868"	"5256"	"sunai/rw"	"I make a reckoning, settle accounts"	"I compare (settle) accounts, make a reckoning."
"4869"	"5257"	"sunaixma/lwtos, ou, o("	"a fellow captive"	"a fellow captive or prisoner."
"4870"	"5258"	"sunakolouqe/w"	"I accompany"	"I accompany, follow together with."
"4871"	"5259,5260,5276"	"sunali/zomai"	"I am assembled together with"	"I am assembled together with."
"4872"	"5262"	"sunanabai/nw"	"I go up with"	"I go up with."
"4873"	"5263,5165"	"sunana/keimai"	"I recline at table with"	"I recline at table with."
"4874"	"5264"	"sunanami/gnumi"	"I keep company with"	"I mingle together with, keep company with."
"4875"	"5265"	"sunanapau/omai"	"I rest along with"	"I rest along with."
"4876"	"5267"	"sunanta/w"	"I meet, encounter"	"I meet, encounter, fall in with."
"4877"	"5268"	"suna/nthsis, ews, h("	"a meeting with"	"a meeting with."
"4878"	"5269"	"sunantilamba/nomai"	"I assist, help"	"I lend a hand along with, take interest in (a thing) along with (others), assist jointly to perform some task, cooperate with, take my share in, help, aid."
"4879"	"5270"	"sunapa/gw"	"I lead away with, condescend to"	"I lead away with, carry along with (in good or bad sense according to context); mid: I conform myself willingly to."
"4880"	"5271"	"sunapoqnh/|skw"	"I die together with"	"I die together with."
"4881"	"5272"	"sunapo/llumi"	"I perish along with"	"I perish along with."
"4882"	"5273"	"sunaposte/llw"	"I send together with"	"I send together with."
"4883"	"5274"	"sunarmologe/w"	"I fit together"	"I fit together, compact."
"4884"	"5275"	"sunarpa/zw"	"I seize, drag by force"	"I seize, drag by force."
"4885"	"5277"	"sunauca/nomai"	"I grow together"	"I grow together."
"4886"	"5278"	"su/ndesmos, ou, o("	"a band, bond"	"that which binds together; a band, bond."
"4887"	"5279"	"sunde/w"	"I bind together"	"I bind together; pass: I am bound together with, as of prisoners in chains."
"4888"	"5280"	"sundoca/zw"	"I glorify together with"	"I glorify together with."
"4889"	"5281"	"su/ndoulos, ou, o("	"a fellow servant, colleague"	"a fellow slave, fellow servant; of Christians: a fellow worker, colleague."
"4890"	"5282"	"sundromh/, h=s, h("	"a running together"	"a running together, concourse, mob."
"4891"	"5283"	"sunegei/rw"	"I raise along with"	"I raise along with."
"4892"	"5284"	"sune/drion, ou, to/"	"a council, the Sanhedrin"	"a council, tribunal; the Sanhedrin, the meeting place of the Sanhedrin."
"4893"	"5287"	"sunei/dhsis, ews, h("	"the conscience"	"the conscience, a persisting notion."
"4894"	"5288,5323,5328"	"su/noida"	"I know, consider, am privy to"	"I know, consider, am privy to."
"4895"	"5289"	"su/neimi"	"I am with"	"I am with, come together with."
"4896"	"5290"	"su/n ei)=mi"	"I come together"	"I come together."
"4897"	"5291"	"suneise/rxomai"	"I enter together with"	"I enter together with, embark with."
"4898"	"5292"	"sune/kdhmos, ou, o(, h("	"a fellow traveler"	"a fellow traveler."
"4899"	"5293"	"suneklekto/s, h/, o/n"	"fellow-elect"	"fellow-elect, fellow-chosen."
"4900"	"5261,5295"	"sunelau/nw"	"I compel, urge"	"I compel, urge, force together."
"4901"	"5296"	"sunepimarture/w"	"I unite in bearing witness"	"I unite in bearing witness, sanction."
"4902"	"5299"	"sune/pomai"	"I accompany"	"I accompany, follow with."
"4903"	"5300"	"sunerge/w"	"I work together"	"I cooperate with, work together."
"4904"	"5301"	"sunergo/s, ou=, o("	"a fellow worker"	"a fellow worker, associate, helper."
"4905"	"5302"	"sune/rxomai"	"I come or go with, accompany, assemble"	"I come or go with, accompany; I come together, assemble."
"4906"	"5303"	"sunesqi/w"	"I eat with"	"I eat with."
"4907"	"5304"	"su/nesis, ews, h("	"understanding"	"a putting together in the mind, hence: understanding, practical discernment, intellect."
"4908"	"5305"	"suneto/s, h/, o/n"	"intelligent, prudent, wise"	"intelligent, prudent, wise, understanding, discerning."
"4909"	"5306"	"suneudoke/w"	"I consent, agree, am of one mind with"	"I consent, agree, am of one mind with, am willing."
"4910"	"5307"	"suneuwxe/omai"	"I feast sumptuously with"	"I feast sumptuously with."
"4911"	"5308"	"sunepi/sthmi"	"I rise up together against"	"I rise up together against."
"4912"	"5309"	"sune/xw"	"I press together, confine, compel, am afflicted with"	"(a) I press together, close, (b) I press on every side, confine, (c) I hold fast, (d) I urge, impel, (e) pass: I am afflicted with (sickness)."
"4913"	"5310"	"sunh/domai"	"I delight inwardly in"	"I delight inwardly in, congratulate."
"4914"	"5311"	"sunh/qeia, as, h("	"a custom, habit"	"a custom, habit, practice."
"4915"	"5312"	"sunhlikiw/ths, ou, o("	"one of the same age"	"one of the same age."
"4916"	"5313"	"sunqa/ptw"	"I bury along with"	"I bury along with."
"4917"	"5314"	"sunqla/w"	"I break, break in pieces"	"I break, break in pieces, crush, shatter."
"4918"	"5315"	"sunqli/bw"	"I crowd upon"	"I press on all sides, crowd upon."
"4919"	"5316"	"sunqru/ptw"	"I break in pieces, crush, thoroughly weaken"	"I break in pieces, crush, thoroughly weaken."
"4920"	"5317,5320"	"suni/hmi"	"I consider, understand"	"I consider, understand, perceive."
"4921"	"5318,5319"	"suni/sthmi, sunista/nw"	"I commend, prove, am composed of, cohere"	"I place together, commend, prove, exhibit; instrans: I stand with; I am composed of, cohere."
"4922"	"5321"	"sunodeu/w"	"I journey with, accompany"	"I journey with, accompany."
"4923"	"5322"	"sunodi/a, as, h("	"a company traveling together, a caravan"	"a company traveling together, a caravan."
"4924"	"5324"	"sunoike/w"	"I dwell with, live in wedlock with"	"I dwell with, live in wedlock with."
"4925"	"5325"	"sunoikodome/w"	"I build together with"	"I build together with."
"4926"	"5326"	"sunomile/w"	"I talk with"	"I talk with, live with."
"4927"	"5327"	"sunomore/w"	"I am contiguous with"	"I am contiguous with, am next door to."
"4928"	"5330"	"sunoxh/, h=s, h("	"distress, anguish"	"distress, anguish, anxiety."
"4929"	"5332"	"sunta/ssw"	"I arrange with, direct, appoint"	"I arrange with, direct, appoint, prescribe, ordain."
"4930"	"5333"	"sunte/leia, as, h("	"a completion, consummation, end"	"a completion, consummation, end."
"4931"	"5334"	"suntele/w"	"I fulfill, accomplish"	"I bring to an end, fulfill, accomplish."
"4932"	"5335"	"sunte/mnw"	"I cut short, bring to swift accomplishment"	"I cut short, bring to swift accomplishment, determine, decide."
"4933"	"5337"	"sunthre/w"	"I preserve, keep safe, keep in mind"	"I preserve, keep safe, keep in mind, keep close."
"4934"	"5298,5338"	"sunti/qhmi"	"I make an agreement, agree"	"mid. and pass: I make a compact (agreement) with (together), covenant with, agree."
"4935"	"5339"	"sunto/mws"	"concisely, briefly"	"concisely, briefly."
"4936"	"5340"	"suntre/xw"	"I run with"	"I run (rush) together, run with."
"4937"	"5341"	"suntri/bw"	"I break by crushing"	"I break by crushing, break in pieces, shatter, crush, bruise."
"4938"	"5342"	"su/ntrimma, atos, to/"	"crushing, destruction"	"crushing, destruction, calamity."
"4939"	"5343"	"su/ntrofos, ou, o("	"a foster brother"	"one brought up with, a foster brother, an intimate friend."
"4940"	"5344"	"suntugxa/nw"	"I meet with, come to"	"I meet with, come to, fall in with."
"4941"	"5345"	"*suntu/xh, h=s, h("	"Syntyche"	"Syntyche, a woman member of the church at Philippi."
"4942"	"5347"	"sunupokri/nomai"	"I dissemble with"	"I dissemble with, play a part with."
"4943"	"5348"	"sunupourge/w"	"I help together"	"I help together, join in serving."
"4944"	"5349"	"sunwdi/nw"	"I am in travail together"	"I am in travail together."
"4945"	"5350"	"sunwmosi/a, as, h("	"a conspiracy, plot"	"a conspiracy, plot."
"4946"	"5352"	"*sura/kousai, w=n, ai("	"Syracuse"	"Syracuse."
"4947"	"5353"	"*suri/a, as, h("	"Syria"	"Syria, a great Roman imperial province, united with Cilicia."
"4948"	"5354"	"*su/ros, ou, o("	"Syrian"	"Syrian, belonging to Syria."
"4949"	"5351,5355,5356,5835"	"*surofoini/kissa, hs, h("	"Syrophoenician"	"Syrophoenician, i.e. Phoenician (of Syria, in contrast to Carthage and its territory in North Africa)."
"4950"	"5358"	"*su/rtis, ews, h("	"Syrtis, quicksand"	"Syrtis, a quicksand off the coast of North Africa."
"4951"	"5359"	"su/rw"	"I draw, drag"	"I draw, drag, force away."
"4952"	"5331,5360"	"suspara/ssw"	"I throw violently on the ground"	"I throw violently on the ground."
"4953"	"5361"	"su/sshmon, ou, to/"	"a signal agreed upon"	"a signal agreed upon."
"4954"	"5362"	"su/sswmos, on"	"belonging to the same body"	"belonging to the same body; fig: of Jews and Gentiles belonging to the same Church."
"4955"	"5086,5363"	"sustasiasth/s, ou=, o("	"a fellow insurgent"	"a fellow insurgent."
"4956"	"5364"	"sustatiko/s, h/, o/n"	"commendatory"	"commendatory, introductory."
"4957"	"5365"	"sustauro/w"	"I crucify together with"	"I crucify together with."
"4958"	"5366"	"suste/llw"	"I shorten, swathe"	"I contract, shorten, wrap around, swathe."
"4959"	"5367"	"sustena/zw"	"I groan together"	"I groan together."
"4960"	"5368"	"sustoixe/w"	"I correspond to"	"I am in the same rank with; I answer to, correspond to."
"4961"	"5369"	"sustratiw/ths, ou, o("	"a fellow soldier"	"a fellow soldier (in the Christian faith)."
"4962"	"5370"	"sustre/fw"	"I roll or gather together"	"I roll or gather together."
"4963"	"5371"	"sustrofh/, h=s, h("	"a gathering together, riotous concourse"	"a gathering together, riotous concourse, conspiracy."
"4964"	"5372"	"susxhmati/zw"	"I conform to"	"I conform to."
"4965"	"4993,5373"	"*suxa/r, h("	"Sychar"	"Sychar, a city of Samaria."
"4966"	"5374"	"*suxe/m, h("	"Shechem"	"Shechem."
"4967"	"5375"	"sfagh/, h=s, h("	"slaughter, sacrifice"	"slaughter, sacrifice."
"4968"	"5376"	"sfa/gion, ou, to/"	"a slaughtered victim"	"a slaughtered victim."
"4969"	"5377"	"sfa/zw"	"I slay"	"I slay, kill by violence, slaughter, wound mortally."
"4970"	"5379"	"sfo/dra"	"exceedingly, greatly"	"exceedingly, greatly, very much."
"4971"	"5380"	"sfodrw=s"	"exceedingly"	"exceedingly, vehemently."
"4972"	"5381"	"sfragi/zw"	"I set a seal upon"	"I seal, set a seal upon."
"4973"	"5382"	"sfragi/s, i=dos, h("	"a signet-ring, impression of a seal, the proof"	"a seal, signet ring, the impression of a seal, that which the seal attests, the proof."
"4974"	"5383,5384"	"sfuro/n, ou=, to/"	"the ankle bone"	"the ankle bone."
"4975"	"5385"	"sxedo/n"	"nearly, almost"	"nearly, almost."
"4976"	"5386"	"sxh=ma, atos, to/"	"fashion, habit, form, appearance"	"fashion, habit, form, appearance."
"4977"	"5387"	"sxi/zw"	"I rend, divide asunder"	"I rend, divide asunder, cleave."
"4978"	"5388"	"sxi/sma, atos, to/"	"a rent, division"	"a rent, as in a garment; a division, dissention."
"4979"	"5389"	"sxoini/on, ou, to/"	"a cord, rope"	"a cord, rope."
"4980"	"5390"	"sxola/zw"	"I have leisure, stand empty"	"(a) I have leisure, (b) I stand empty (of a house)."
"4981"	"5391"	"sxolh/, h=s, h("	"leisure, a school"	"leisure, a school, place where there is leisure."
"4982"	"1751,5392"	"sw/|zw"	"I save, heal"	"I save, heal, preserve, rescue."
"4983"	"5393"	"sw=ma, atos, to/"	"body, flesh"	"body, flesh; the body of the Church."
"4984"	"5394"	"swmatiko/s, h/, o/n"	"bodily, corporeal"	"bodily, corporeal."
"4985"	"5395"	"swmatikw=s"	"bodily"	"bodily, corporeally, belonging to the body."
"4986"	"5396"	"*sw/patros, ou, o("	"Sopater"	"Sopater, a proper name."
"4987"	"5397"	"swreu/w"	"I heap up, load"	"I heap up, load."
"4988"	"5398"	"*swsqe/nhs, ou, o("	"Sosthenes"	"Sosthenes, the ruler of the synagogue at Corinth."
"4989"	"5399"	"*swsi/patros, ou, o("	"Sosipater"	"Sosipater, a proper name."
"4990"	"5400"	"swth/r, h=ros, o("	"a savior, deliverer, preserver"	"a savior, deliverer, preserver."
"4991"	"5401"	"swthri/a, as, h("	"deliverance, salvation"	"welfare, prosperity, deliverance, preservation, salvation, safety."
"4992"	"5402,5403"	"swth/rios, on"	"saving, bringing salvation, salvation"	"saving, bringing salvation; subst: salvation."
"4993"	"5404"	"swfrone/w"	"I am sober-minded, exercise self-control"	"I am of sound mind, am sober-minded, exercise self-control."
"4994"	"5405"	"swfroni/zw"	"I admonish"	"I make sober-minded, admonish, control."
"4995"	"5406"	"swfronismo/s, ou=, o("	"self-control, self-discipline"	"self-control, self-discipline, prudence."
"4996"	"5407"	"swfro/nws"	"soberly, with moderation"	"soberly, with moderation, prudently."
"4997"	"5408"	"swfrosu/nh, hs, h("	"sanity, sobriety"	"soundness of mind, sanity; self-control, sobriety."
"4998"	"5409"	"sw/frwn, on"	"self-controlled, temperate"	"of sound mind, self-controlled, temperate, sober-minded, modest, chaste."
"4999"	"5411"	"tabe/rnai, w=n, ai("	"taverns"	"taverns; Three Taverns, the name of a village or town on the Appian Way, about thirty-three miles from Rome."
"5000"	"5412"	"*tabhqa/, h("	"Tabitha, antelope"	"antelope; Tabitha, a Christian woman at Joppa."
"5001"	"5413"	"ta/gma, atos, to/"	"rank, division"	"rank, division, an ordered series."
"5002"	"5414"	"takto/s, h/, o/n"	"appointed, arranged, fixed"	"appointed, arranged, fixed."
"5003"	"5415"	"talaipwre/w"	"I am miserable, distressed"	"I endure severe hardship, am harassed, complain."
"5004"	"5416"	"talaipwri/a, as, h("	"hardship, misery"	"hardship, misery, distress, toil."
"5005"	"5417"	"talai/pwros, on"	"wretched, afflicted, miserable"	"wretched, afflicted, miserable."
"5006"	"5418"	"talantiai=os, ai/a, ai=on"	"a talent in weight"	"a talent in weight."
"5007"	"5419"	"ta/lanton, ou, to/"	"a talent of silver or gold"	"a talent of silver or gold."
"5008"	"2496,5420"	"taliqa/"	"little girl"	"(Aramaic), girl, little girl."
"5009"	"5421"	"tamei=on, ou, to/"	"a secret chamber"	"a store-chamber, secret chamber, closet; a granary, barn."
"5010"	"5423"	"ta/cis, ews, h("	"order, position, rank"	"order, (a) regular arrangement, (b) appointed succession, (c) position, rank."
"5011"	"5424"	"tapeino/s, h/, o/n"	"humble, lowly"	"humble, lowly, in position or spirit (in a good sense)."
"5012"	"5425"	"tapeinofrosu/nh, hs, h("	"humility"	"humility, lowliness of mind, modesty."
"5013"	"5427"	"tapeino/w"	"I humble, humiliate"	"I make or bring low, humble, humiliate; pass: I am humbled."
"5014"	"5428"	"tapei/nwsis, ews, h("	"abasement, low condition"	"abasement (in spirit), low condition (in circumstances)."
"5015"	"5429"	"tara/ssw"	"I agitate, stir up, trouble"	"I disturb, agitate, stir up, trouble."
"5016"	"5430"	"taraxh/, h=s, h("	"a disturbance, tumult, sedition"	"a disturbance, tumult, sedition, trouble."
"5017"	"5431"	"ta/raxos, ou, o("	"a disturbance, commotion"	"a disturbance, commotion, trouble."
"5018"	"5432"	"*tarseu/s, e/ws, o("	"belonging to Tarsus"	"belonging to Tarsus, a Tarsian."
"5019"	"5433"	"*tarso/s, ou=, h("	"Tarsus"	"Tarsus, the capital of the Roman province Cilicia."
"5020"	"5434"	"tartaro/w"	"I thrust down to Tartarus"	"I thrust down to Tartarus or Gehenna."
"5021"	"5435"	"ta/ssw"	"I assign, arrange"	"(a) I assign, arrange, (b) I determine; mid: I appoint."
"5022"	"5436"	"tau=ros, ou, o("	"a bull, an ox"	"a bull, an ox."
"5027"	"5438"	"tafh/, h=s, h("	"a burial"	"a burial, burial place."
"5028"	"5439"	"ta/fos, ou, o("	"a tomb, burial-place"	"a burial-place, sepulcher, tomb, grave."
"5029"	"5440"	"ta/xa"	"quickly, perhaps"	"quickly, presently, perhaps."
"5030"	"5441"	"taxe/ws"	"soon, quickly, hastily"	"soon, quickly, hastily."
"5031"	"5442"	"taxino/s, h/, o/n"	"swift, quick"	"swift, quick, impending."
"5032"	"5441"	"ta/xion"	"more swiftly"	"more swiftly, more quickly."
"5033"	"5441"	"ta/xista"	"most swiftly"	"most swiftly, most quickly, as quickly as possible."
"5034"	"5443"	"ta/xos, ous, to/"	"quickness, speed"	"quickness, speed; hastily, immediately."
"5035"	"5444"	"taxu/"	"quickly, speedily"	"quickly, speedily."
"5036"	"5444"	"taxu/s, ei=a, u/"	"quick, swift"	"quick, swift, speedy, ready, prompt."
"5037"	"5445"	"te/"	"and, both"	"and, both."
"5038"	"5446"	"tei=xos, ous, to/"	"a wall"	"a wall, especially of a city."
"5039"	"5447"	"tekmh/rion, ou, to/"	"a sign, certain proof"	"a sign, certain proof."
"5040"	"5448"	"tekni/on, ou, to/"	"a little child"	"a little child."
"5041"	"5449"	"teknogone/w"	"I bear children"	"I bear children, beget, rear a family."
"5042"	"5450"	"teknogoni/a, as, h("	"child bearing"	"child bearing, the rearing of a family."
"5043"	"5451"	"te/knon, ou, to/"	"a child, descendent, inhabitant"	"a child, descendent, inhabitant."
"5044"	"5452"	"teknotrofe/w"	"I bring up children"	"I bring up children, rear young."
"5045"	"5454"	"te/ktwn, onos, o("	"a carpenter"	"a carpenter, an artisan."
"5046"	"5455"	"te/leios, a, on"	"perfect, full-grown"	"perfect, (a) complete in all its parts, (b) full grown, of full age, (c) specially of the completeness of Christian character."
"5047"	"5456"	"teleio/ths, thtos, h("	"perfectness, perfection"	"perfectness, perfection, maturity."
"5048"	"5457"	"teleio/w"	"I complete, accomplish, make perfect"	"(a) as a course, a race, or the like: I complete, finish (b) as of time or prediction: I accomplish, (c) I make perfect; pass: I am perfected."
"5049"	"5458"	"telei/ws"	"perfectly"	"perfectly, completely, without wavering."
"5050"	"5459"	"telei/wsis, ews, h("	"completion, fulfillment, perfection"	"completion, fulfillment, perfection."
"5051"	"5460"	"teleiwth/s, ou=, o("	"a perfecter, completer"	"a perfecter, completer, finisher."
"5052"	"5461"	"telesfore/w"	"I bring to maturity"	"I bring to maturity."
"5053"	"5462"	"teleuta/w"	"I end, finish, die"	"I end, finish, die, complete."
"5054"	"5463"	"teleuth/, h=s, h("	"end of life, death"	"end of life, death."
"5055"	"5464"	"tele/w"	"I end, accomplish, pay"	"(a) I end, finish, (b) I fulfill, accomplish, (c) I pay."
"5056"	"5465"	"te/los, ous, to/"	"an end, purpose, tax"	"(a) an end, (b) event or issue, (c) the principal end, aim, purpose, (d) a tax."
"5057"	"5467"	"telw/nhs, ou, o("	"a collector of taxes"	"a publican, collector of taxes."
"5058"	"5466,5468"	"telw/nion, ou, to/"	"a tax-collector's office"	"a tax-collector's office, toll-house."
"5059"	"5469"	"te/ras, atos, to/"	"a wonder, portent"	"a wonder, portent, marvel."
"5060"	"5470"	"*te/rtios, ou, o("	"Tertius"	"Tertius, who wrote the Epistle to the Romans at Paul's dictation."
"5061"	"5472"	"*te/rtullos, ou, o("	"Tertullus"	"Tertullus, a barrister acting as professional prosecutor of Paul at Caesarea."
"5062"	"5473,5477"	"tessara/konta"	"forty"	"forty."
"5063"	"5474,5478"	"tessarakontaeth/s, e/s"	"forty years of age"	"forty years of age."
"5064"	"5475"	"te/ssares, te/ssara"	"four"	"four."
"5065"	"5476"	"tessareskaide/katos, h, on"	"fourteenth"	"fourteenth."
"5066"	"5479"	"tetartai=os, ai/a, ai=on"	"four days since"	"of the fourth day, four days since."
"5067"	"5480"	"te/tartos, h, on"	"fourth"	"fourth."
"5068"	"5481"	"tetra/gwnos, on"	"square"	"square, four-cornered."
"5069"	"5482"	"tetra/dion, ou, to/"	"a group of four soldiers"	"a quaternion, a group of four soldiers."
"5070"	"5483"	"tetrakisxi/lioi, ai, a"	"four thousand"	"four thousand."
"5071"	"5484"	"tetrako/sioi, ai, a"	"four hundred"	"four hundred."
"5072"	"5485"	"tetra/mhnos, on"	"of four months"	"of four months, a period of four months."
"5073"	"5486,5487"	"tetraplou=s, h=, ou=n"	"four-fold"	"four-fold, four times as much."
"5074"	"5488"	"tetra/pous, oun"	"four-footed"	"four-footed."
"5075"	"5489"	"tetrarxe/w"	"I rule over as a tetrarch"	"I rule over as a tetrarch."
"5076"	"5490"	"tetra/rxhs, ou, o("	"a tetrarch"	"a tetrarch, ruler over a fourth part of a region."
"5077"	"5491"	"tefro/w"	"I reduce to ashes"	"I reduce to ashes, consume, destroy."
"5078"	"5492"	"te/xnh, hs, h("	"art, skill, trade"	"art, skill, trade, craft."
"5079"	"5493"	"texni/ths, ou, o("	"a craftsman, artisan"	"a craftsman, artisan, architect, builder."
"5080"	"5494"	"th/kw"	"I make liquid, melt"	"I make liquid; pass: I melt (away)."
"5081"	"1315,5495"	"thlaugw=s"	"clearly, distinctly"	"clearly, distinctly, plainly."
"5082"	"5496"	"thlikou=tos, au/th, ou=to"	"so great"	"so great, so large, important."
"5083"	"5498"	"thre/w"	"I keep, guard, observe"	"I keep, guard, observe, watch over."
"5084"	"5499"	"th/rhsis, ews, h("	"a prison, observance"	"a prison; observance (as of precepts)."
"5085"	"5500"	"*tiberia/s, a/dos, h("	"Tiberias"	"Tiberias, a town in Galilee on the western border of the sea called after it."
"5086"	"5501"	"*tibe/rios, ou, o("	"Tiberius"	"Tiberius, the second Roman emperor (died A.D. 37)."
"5087"	"5502"	"ti/qhmi"	"I put, place"	"I put, place, lay, set, fix, establish."
"5088"	"5503"	"ti/ktw"	"I bear, bring forth, produce"	"I bear, bring forth, produce, beget, yield."
"5089"	"5504"	"ti/llw"	"I pluck, pluck off"	"I pluck, pluck off."
"5090"	"5505"	"*timai=os, ou, o("	"Timaeus"	"Timaeus, father of the blind beggar Bartimaeus."
"5091"	"5506"	"tima/w"	"I value at a price, honor"	"(a) I value at a price, estimate, (b) I honor, reverence."
"5092"	"5507"	"timh/, h=s, h("	"a price, honor"	"a price, honor."
"5093"	"5508"	"ti/mios, a, on"	"of great price, precious, honored"	"of great price, precious, honored."
"5094"	"5509"	"timio/ths, thtos, h("	"preciousness, costliness"	"preciousness, costliness, worth."
"5095"	"5510"	"*timo/qeos, ou, o("	"Timothy"	"Timothy, a Christian of Lystra, helper of Paul."
"5096"	"5511"	"*ti/mwn, wnos, o("	"Timon"	"Timon, one of the seven original deacons at Jerusalem."
"5097"	"5512"	"timwre/w"	"I punish"	"I punish, avenge myself on."
"5098"	"5513"	"timwri/a, as, h("	"punishment, penalty"	"punishment, penalty."
"5099"	"5514"	"ti/nw"	"I pay"	"I pay (penalty)."
"5100"	"5516"	"tis, ti"	"any one, some one"	"any one, some one, a certain one or thing."
"5101"	"5515"	"ti/s, ti/"	"who, which, what"	"who, which, what, why."
"5102"	"5518"	"ti/tlos, ou, o("	"a title, inscription"	"a title, inscription."
"5103"	"5519"	"*ti/tos, ou, o("	"Titus"	"Titus, a Greek Christian, helper of Paul, perhaps also brother of Luke."
"5105"	"5521,5522"	"toigarou=n"	"consequently, therefore"	"consequently, therefore, well then, so then."
